563008	CFA	ABBEY HILLS	ABBE	f
563152	CFA	ALLANSFORD	AFRD	f
562720	CFA	ARDACHY	ARDA	f
563328	CFA	ARDONACHIE	ARDO	f
563344	CFA	BESSIEBELLE	BESS	f
562752	CFA	BOCHARA	BOCH	f
563360	CFA	BROADWATER	BWTR	f
563760	CFA	BUCKLEY SWAMP	BUCK	f
563776	CFA	BURN BRAE	BRNB	f
563376	CFA	BYADUK	BYAD	f
562608	CFA	CODRINGTON	CODR	f
563168	CFA	CUDGEE	CUDG	f
563872	CFA	DUNKELD	DUNK	f
563648	CFA	ELLERSLIE	ELLE	f
563184	CFA	GARVOC	GARC	f
563808	CFA	GAZETTE	GAZE	f
563888	CFA	GLENTHOMPSON	GTOM	f
563520	CFA	GRASSMERE	GRRE	f
565016	CFA	AKD-CALCO	AKDC	f
569016	CFA	ALBERTON WEST	ALBE	f
569176	CFA	GRAND RIDGE PLANTATIONS	GRID	f
569160	CFA	YARRAM	YRAM	f
573920	CFA	CENTRAL HIGHLANDS WATER	CHIG	f
574872	CFA	ENVIRONINVEST	ENVI	f
576432	CFA	WILLENABRINA	WRIN	f
578312	CFA	DEAKIN NORTH WEST	DEAK	f
560560	CFA	HUNTER-DIGGORA	HUND	f
564360	CFA	CARPENDEIT-STH PURRUMBETE	CARP	f
567920	CFA	LARDNER	LARD	f
560960	CFA	BEAZLEY'S BRIDGE	BEAZ	f
560608	CFA	BRIDGEWATER	BRIU	f
561248	CFA	BENDIGO	BEND	f
561136	CFA	BERRIMAL	BERR	f
562264	CFA	MUNTHAM	MUNT	f
562816	CFA	HAMILTON	HAMI	f
563040	CFA	HAWKESDALE	HAWK	f
563664	CFA	HEXHAM	HEXH	f
562848	CFA	KARABEAL	KARA	f
562624	CFA	KIRKSTALL	KIRK	f
563392	CFA	KNEBSWORTH	KNEB	f
563536	CFA	KOROIT	KORO	f
563200	CFA	LAANG	LAAN	f
563408	CFA	MACARTHUR	MACA	f
563216	CFA	MEPUNGA	MEPU	f
563056	CFA	MINHAMITE	MINH	f
562864	CFA	MIRRANATWA	MIRR	f
563696	CFA	MORTLAKE	MLKU	f
563424	CFA	NORTH BYADUK	NBYA	f
563264	CFA	NULLAWARRE	NWAR	f
563440	CFA	ORFORD	ORFO	f
563280	CFA	PANMURE	PANM	f
563296	CFA	PETERBOROUGH	PETE	f
562640	CFA	PORT FAIRY	PRTF	f
563552	CFA	PURNIM	PURN	f
563072	CFA	SPRING CREEK	SPCR	f
562656	CFA	ST HELENS	STNS	f
562912	CFA	STRATHKELLAR	SKEL	f
563904	CFA	STRATHMORE	SMOR	f
563712	CFA	THE SISTERS	THES	f
562672	CFA	TOOLONG	TLNG	f
562944	CFA	VICTORIA VALLEY	VICV	f
563568	CFA	WANGOOM	WAOM	f
563584	CFA	WARRNAMBOOL	WBOL	f
563088	CFA	WARRONG	WAOG	f
563104	CFA	WILLATOOK & DISTRICT	WTOK	f
563600	CFA	WINSLOW & YARPTURK	WINS	f
563616	CFA	WOODFORD	WFRD	f
563120	CFA	WOOLSTHORPE	WTHO	f
563728	CFA	WOORIWYRITE	WRIT	f
562688	CFA	YAMBUK	YAMB	f
564472	CFA	BARONGAROOK WEST	BARO	f
563992	CFA	BEEAC	BEEA	f
564728	CFA	BERRYBANK	BBNK	f
564152	CFA	BOOKAAR	BOOK	f
564344	CFA	BOSTOCKS CREEK	BOST	f
564888	CFA	BRUCKNELL-AYRFORD	BFRD	f
564488	CFA	BUNGADOR	BUNG	f
564184	CFA	CAMPERDOWN	CDWN	f
564200	CFA	CHOCOLYN	CHOC	f
564376	CFA	COBDEN	COBD	f
564392	CFA	COBRICO	COCO	f
564008	CFA	COLAC	COLA	f
564744	CFA	CRESSY	CRES	f
564760	CFA	DARLINGTON	DARL	f
564536	CFA	DREEITE SOUTH	DREE	f
564792	CFA	DUVERNEY	DUVE	f
564408	CFA	ECKLIN & DISTRICT	ECKL	f
564424	CFA	ELINGAMITE - GLENFYNE	ELIN	f
564552	CFA	GELLIBRAND	GELL	f
564040	CFA	GERANGAMETE	GERE	f
564568	CFA	HANCOCK OTWAYS	HANO	f
564056	CFA	IRREWARRA	IRRE	f
564440	CFA	JANCOURT	JANC	f
564600	CFA	KAWARREN	KAWA	f
564904	CFA	KENNEDY'S CREEK	KENN	f
563232	CFA	NARINGAL	NGAL	f
564616	CFA	LARPENT	LARP	f
564824	CFA	LISMORE	LSMR	f
564920	CFA	LOWER HEYTESBURY	LHEY	f
564632	CFA	MIDWAY - OTWAYS	MIDW	f
564648	CFA	NALANGIL	NALA	f
564216	CFA	NOORAT & DISTRICT	NOOR	f
564664	CFA	OTWAY	OTWY	f
564232	CFA	POMBORNEIT & DIST	POMB	f
564936	CFA	PORT CAMPBELL	PRTC	f
564968	CFA	SCOTTS CK-COWLEYS CK.	SCOT	f
564984	CFA	SIMPSON	SIMP	f
564248	CFA	STONYFORD	SFRD	f
564680	CFA	SWAN MARSH	SMSH	f
564280	CFA	TERANG-DIXIE	TDIX	f
564296	CFA	TESBURY	TESY	f
564856	CFA	VITE VITE NORTH	VIVI	f
564696	CFA	WARRION	WARI	f
564312	CFA	WEERITE	WRTE	f
564104	CFA	YEO & DISTRICT	YEOA	f
564120	CFA	YEODENE	YEOD	f
565424	CFA	ANGLESEA	ANGL	f
565440	CFA	CONNEWARRE	CONN	f
565808	CFA	DEANS MARSH	DEAN	f
562520	CFA	LAKE MUNDI	LMUN	f
562536	CFA	LINDSAY	LSAY	f
565936	CFA	GEELONG CITY	GONG	f
565568	CFA	GEELONG WEST	GEWE	f
565664	CFA	DEREEL	DERE	f
565584	CFA	GROVEDALE	GROV	f
565600	CFA	HIGHTON	HIGH	f
565840	CFA	INVERLEIGH	INVE	f
565136	CFA	LETHBRIDGE	LETH	f
565152	CFA	LITTLE RIVER	LITT	f
565472	CFA	LORNE	LRNE	f
565680	CFA	MOUNT MERCER	MTME	f
565312	CFA	OCEAN GROVE	OCEA	f
565456	CFA	FRESHWATER CREEK	FRES	f
566808	CFA	EDITHVALE	EDIT	f
566424	CFA	GEMBROOK	GEMB	f
565824	CFA	GNARWARRE	GNAR	f
566648	CFA	MAIN RIDGE	MAIN	f
566472	CFA	NARRE WARREN	NARR	f
566520	CFA	PAKENHAM	PKHM	f
1286888	CFA	PATTERSON RIVER	PATR	f
567096	CFA	RED HILL	REDH	f
567856	CFA	DARNUM & ELLINBANK	DARN	f
567392	CFA	RUBY	RUBY	f
567792	CFA	TOORA	TORA	f
568504	CFA	YINNAR SOUTH	YINS	f
563792	CFA	CROXTON EAST	CROX	f
562504	CFA	KILLARA	KILL	f
562392	CFA	KONONGWOOTONG	KONO	f
565504	CFA	WYE RIVER	WYER	f
566072	CFA	KERNOT	KERN	f
